loc,comment_lines,blank_lines,cyclomatic_complexity,halstead_volume,halstead_difficulty,maintainability_index,num_methods,num_classes,coupling,cohesion,inheritance_depth,num_children,weighted_methods_per_class,response_for_class,lack_of_cohesion,code_churn,num_commits,num_authors,file_age_days,num_revisions,num_bugs_historical,num_bug_fixes,test_coverage,comment_ratio,duplicate_code_ratio,fan_in,fan_out,num_dependencies,defect,complexity_per_loc,bug_density,churn_per_commit
56,32,7,11,308.29924997472204,6.975457081544965,79.20722673983656,7,4,4,0.6641441188262512,3,2,16,13,0.20971109550963196,38,31,4,54,17,3,0,35.143720527422644,0.03267339247997568,0.10189919247099448,5,5,9,0,0.19298245614035087,52.63157894736842,1.1875
123,63,4,10,3225.6014771139235,8.275477589353821,47.151779024004945,10,4,4,0.8770075228681475,0,0,15,20,0.23961090627986406,41,19,1,53,14,4,1,71.15458660710226,0.19058939257655413,0.026047926372215698,0,4,6,0,0.08064516129032258,32.25806451612903,2.05
45,41,8,7,2058.334180580262,5.456494049333426,68.77936779110209,9,4,1,0.6910936440537876,0,0,18,8,0.32841332682274565,62,10,3,115,16,2,1,80.51307385069535,0.370091448640837,0.05334557386795574,7,3,4,0,0.15217391304347827,43.47826086956522,5.636363636363637
271,22,4,10,674.9188643997106,8.66913994578354,61.77513813540225,9,4,6,0.911566080908222,3,1,18,10,0.37417782464042315,46,21,1,419,16,1,1,78.61703630929031,0.024031139247968417,0.12689914119744486,3,1,5,1,0.03676470588235294,3.676470588235294,2.090909090909091
57,22,8,14,1257.4310842494776,11.535776015385748,88.00080701221722,7,7,5,0.7486108191393742,0,1,16,9,0.5997276758576734,49,18,2,52,13,2,2,89.99456344779801,0.20529081414328232,0.10117796273732257,5,5,7,0,0.2413793103448276,34.48275862068965,2.5789473684210527
212,12,4,29,409.89805774449104,9.8485770898437,58.29835323838804,8,4,5,0.7030721497852556,3,2,14,16,0.14544783102554842,50,19,4,260,20,4,4,51.0881494051234,0.3937333384993821,0.14454985392385758,3,3,4,1,0.13615023474178403,18.779342723004696,2.5
428,81,7,7,357.5489086840866,6.9497027392880355,56.168904373330044,8,5,0,0.455248340634045,1,0,20,10,0.5088077329080083,55,27,6,184,15,0,1,86.50609539740131,0.11151787139461525,0.10464358481309348,6,5,1,0,0.016317016317016316,0.0,1.9642857142857142
132,34,6,40,840.9033444220915,12.115264479249726,70.48206828364825,13,1,2,0.7788428770464736,3,0,12,14,0.412818294777426,47,21,3,137,17,1,3,39.560025773974424,0.36391491990945546,0.13295794301806776,1,1,9,1,0.3007518796992481,7.518796992481203,2.1363636363636362
338,19,8,3,5760.335934661197,3.7576126398585266,80.64645152981166,12,4,3,0.8819985893587371,1,1,16,17,0.25593767379947174,47,22,2,358,12,0,2,84.74291588683545,0.10486680712996284,0.012875748942671935,2,2,6,0,0.008849557522123894,0.0,2.0434782608695654
44,12,7,1,306.43472195661525,1.6547505924427233,90.73832391709435,13,6,4,0.5635474863544128,2,1,14,10,0.27571495397310525,37,17,4,99,16,1,3,42.92951401794624,0.5383693691696037,0.006434812403616595,3,8,6,0,0.022222222222222223,22.22222222222222,2.0555555555555554
45,5,25,2,1444.5318444087084,12.736090309047624,74.92561706375521,15,8,2,0.8401470611835326,4,0,15,12,0.24817877497177232,40,28,4,150,20,5,0,61.87200914355583,0.2761736664473146,0.009474217268746027,4,5,7,1,0.043478260869565216,108.69565217391305,1.3793103448275863
184,33,25,7,465.52043632910875,8.878271488927076,73.7541128992544,9,3,5,0.7266375438535622,4,0,10,18,0.3400684564308172,54,14,2,180,14,3,2,55.56368211430516,0.277650683468339,0.1634754042531024,4,4,6,0,0.03783783783783784,16.216216216216218,3.6
119,4,23,3,852.81221033769,6.849045523301071,35.31208968349594,11,2,6,0.5970055039704859,1,0,5,13,0.3795131834461726,37,16,2,117,16,3,3,26.291284874877185,0.47592278398021054,0.09839474528388333,3,3,5,0,0.025,25.0,2.176470588235294
36,76,15,50,1098.0188379495432,8.201862813417035,70.92837876224623,5,4,9,0.8839960952600175,2,0,13,16,0.379356407722542,41,12,4,37,23,1,1,36.905100262184284,0.29427817760191094,0.015966294234568367,6,3,2,1,1.3513513513513513,27.027027027027028,3.1538461538461537
91,42,8,20,2132.319394311118,5.351634957257003,64.33703224645897,12,5,7,0.880192010493815,3,1,14,9,0.1816161915996662,43,16,4,56,22,1,0,41.535810035695334,0.05805834986204082,0.00768312902574505,4,8,7,1,0.21739130434782608,10.869565217391305,2.5294117647058822
493,8,3,7,2106.046230265248,4.6255439014126845,67.03709329234837,5,5,7,0.26941407044992044,4,1,12,7,0.21868940037716497,42,25,4,79,17,2,4,91.39820352730456,0.527609896514104,0.10021084052185045,4,4,4,0,0.01417004048582996,4.048582995951417,1.6153846153846154
73,20,12,2,247.06268756278783,12.31686296527337,84.44931076598742,11,2,5,0.7640795794336636,3,1,13,10,0.3052558091058518,50,25,4,123,20,0,4,77.91005168420094,0.2220236894641861,0.023529367416978867,3,6,4,0,0.02702702702702703,0.0,1.9230769230769231
152,11,4,4,6009.067630219377,5.7480539134823445,68.36399335311796,10,7,6,0.9600653130781256,1,3,14,7,0.05912822111226727,44,20,4,149,12,3,2,71.33198700157008,0.04254202810312922,0.18781658569674792,2,2,4,1,0.026143790849673203,19.607843137254903,2.0952380952380953
100,39,4,5,3557.0555694905865,2.0030604715208655,54.8566994922046,10,4,5,0.5035653934886161,5,0,15,16,0.22735675354519108,52,27,2,14,24,3,1,58.42644497632058,0.09000405204864113,0.05400780252712152,2,5,9,0,0.04950495049504951,29.7029702970297,1.8571428571428572
180,10,2,4,619.9812548356139,4.77986911143487,77.2846773328918,9,6,5,0.5952737693798922,5,1,18,14,0.06982240459733174,55,24,2,454,27,2,0,66.67830764803323,0.7792804689906947,0.2807715829483829,2,4,4,0,0.022099447513812154,11.049723756906078,2.2
210,32,8,5,736.0296984764044,8.359018503192694,67.50844773754467,5,3,9,0.6617292264607639,2,1,15,10,0.30211146523372484,54,24,4,108,20,0,0,89.68916287055632,0.20273116878487862,0.05529403041429375,6,5,2,0,0.023696682464454975,0.0,2.16
268,6,9,4,7750.860307604972,8.067707730871343,51.058208164588905,9,5,3,0.9800673500883763,2,0,11,17,0.5457574303000583,36,25,4,598,14,1,2,46.91242267570417,0.10987986223213496,0.0099300493465863,4,8,6,1,0.01486988847583643,3.717472118959108,1.3846153846153846
249,6,18,15,3762.8213436450023,8.37528102916611,88.33481348782486,11,3,7,0.9922930425233043,1,0,13,10,0.14549281521350135,58,18,2,53,18,2,1,72.102125430835,0.20207919226675258,0.11872879733442622,0,6,5,0,0.06,8.0,3.0526315789473686
338,71,31,8,661.428676230585,5.584130020351007,56.40494946973015,12,2,7,0.7050458620021895,5,3,11,8,0.1888891786154884,59,20,5,73,17,2,2,83.79389468740612,0.19466632217997354,0.04843701727286894,5,4,6,1,0.02359882005899705,5.899705014749262,2.8095238095238093
227,19,5,12,502.3887573004443,10.870322043348095,60.04511647186779,5,3,3,0.6897632019566847,3,2,18,11,0.11922572211639458,45,16,4,187,11,1,1,76.45601529140302,0.035125158122623464,0.05245903127554673,4,7,13,0,0.05263157894736842,4.385964912280701,2.6470588235294117
180,19,17,14,1036.3874373117549,3.7424252182906868,84.70057067765875,9,1,3,0.8503419146170237,1,2,14,12,0.36366938161318885,46,31,2,55,14,2,3,29.699009820156384,0.07997262028055324,0.10513680269229012,2,0,4,0,0.07734806629834254,11.049723756906078,1.4375
88,4,18,4,506.1343969833744,6.2036703478012,43.63858957321832,11,5,7,0.7400091143725958,3,0,25,11,0.20044190203288545,49,19,2,59,17,1,1,66.06571978673125,0.18127886511754984,0.13651578562734493,3,8,2,0,0.0449438202247191,11.235955056179774,2.45
10,3,30,3,1263.636708468281,7.430592163400283,60.87410017349182,7,4,3,0.5982603442644636,5,2,12,14,0.0842915659058096,41,29,3,491,22,3,1,52.238756783741,0.30289530592913905,0.09510311181084022,4,4,2,0,0.2727272727272727,272.7272727272727,1.3666666666666667
99,13,4,3,560.1821443716055,7.584206168120692,50.616648293039496,6,2,5,0.8229988099045857,1,0,11,15,0.0342697595100976,51,32,3,408,12,2,0,53.337984010074244,0.5688906026684647,0.31654901820159964,2,3,1,0,0.03,20.0,1.5454545454545454
66,3,3,4,485.35225442606554,10.63843952136315,80.72335694723952,7,6,5,0.7085759813404182,1,1,13,11,0.47835481410658326,44,20,2,132,12,4,3,56.74922616437279,0.43933021501281944,0.044245658307466136,3,9,1,1,0.05970149253731343,59.701492537313435,2.0952380952380953
73,10,5,6,171.62812263817125,6.864030230108349,49.73256823634707,12,4,6,0.7497362548637022,2,1,15,13,0.17621139827307544,62,18,1,77,11,0,0,62.19682596035862,0.12425552278218656,0.12344310355901496,3,0,4,0,0.08108108108108109,0.0,3.263157894736842
26,18,2,3,618.0455811614125,4.187350467007479,63.52044168320272,11,4,2,0.7370108407353313,1,2,10,11,0.6331002029609257,61,24,1,4,13,1,2,63.372252749202964,0.07957973282180404,0.041033504136968976,2,0,5,0,0.1111111111111111,37.03703703703704,2.44
314,12,2,5,4982.816190845512,7.336586738545088,63.17996194846544,14,2,5,0.7591092221543765,3,1,13,6,0.18408252706255612,62,19,6,27,22,1,4,44.75202350697196,0.4928533649123629,0.02326664857692812,5,5,3,0,0.015873015873015872,3.1746031746031744,3.1
23,8,13,4,657.3255329696743,11.23194018083123,84.28494273700716,8,2,1,0.8833062859455417,4,2,13,8,0.09271311015693459,45,30,3,64,8,2,1,72.11863703999695,0.1504101712689141,0.05621972132092107,9,7,4,0,0.16666666666666666,83.33333333333333,1.4516129032258065
225,7,3,2,827.6801286102913,8.109742444704214,56.876649793991874,11,3,4,0.5685138675689652,2,2,10,19,0.2428627707917057,53,20,1,348,17,2,3,87.13993679384227,0.4037685059619132,0.17097796701601603,2,5,8,0,0.008849557522123894,8.849557522123893,2.5238095238095237
117,24,13,1,2039.0246972316168,4.444878298563701,68.13095510926347,11,3,7,0.27153069032724425,1,1,7,16,0.05393828204796826,47,19,4,15,17,4,1,67.35372276284359,0.3811024081446638,0.06350050835526248,2,4,2,0,0.00847457627118644,33.898305084745765,2.35
228,15,10,31,502.76065748966647,5.483262304152343,82.26868016579692,9,6,5,0.5329074059661681,2,2,12,13,0.18166121775292737,39,19,2,286,20,3,1,67.67267824270436,0.16975354096377449,0.002067171624004891,1,10,3,1,0.13537117903930132,13.100436681222707,1.95
354,13,3,8,3272.3817651858863,7.445253988267681,70.72938721326325,8,2,4,0.6756105338387393,1,2,17,12,0.11091707758797627,58,27,3,15,15,1,0,55.21121991061967,0.2399980469782639,0.15576121789376968,3,7,7,0,0.022535211267605635,2.8169014084507045,2.0714285714285716
1106,34,6,3,410.2482054239876,4.871172435592238,46.88811433814928,9,2,4,0.8197250092676909,0,2,11,10,0.156120611825723,53,25,3,174,13,2,1,75.36871745165949,0.29325664723476585,0.02385149787081016,8,8,7,0,0.0027100271002710027,1.8066847335140017,2.0384615384615383
585,11,11,7,695.9732001692496,8.539667400732283,87.8928421445868,11,2,5,0.9264037891947965,2,3,13,15,0.5327715521332107,46,14,2,527,16,3,0,82.6469491425019,0.17978398397168338,0.001774206117026058,0,5,5,0,0.011945392491467578,5.1194539249146755,3.066666666666667
427,4,5,6,1539.4609889227138,7.251963812485178,62.722853550415785,11,3,2,0.7800844999374807,3,0,17,12,0.6108088879900891,53,21,1,636,12,0,0,68.37006920288198,0.037706445684419866,0.07398487828836567,3,2,9,0,0.014018691588785047,0.0,2.409090909090909
629,7,16,2,2085.566013337245,10.747171045087512,89.15490933929414,8,6,7,0.8872063987473485,3,1,8,16,0.1817476281124572,50,22,3,214,12,3,0,69.0505476282885,0.12002975207222394,0.03828627164180178,6,6,11,1,0.0031746031746031746,4.761904761904763,2.1739130434782608
155,14,21,4,2340.1814556101835,6.321013016388786,59.42029035489304,12,3,7,0.5126390845339925,2,2,13,13,0.11249354746547027,46,21,3,73,13,0,1,60.958728643025616,0.5347274629518344,0.032572530511550485,3,6,5,0,0.02564102564102564,0.0,2.090909090909091
162,27,21,4,2040.719419147722,4.698020988095225,66.49223100158264,11,5,6,0.7086480499768255,3,0,13,13,0.05790773147785976,56,18,2,338,13,3,2,87.16054229889598,0.2612479887245718,0.013554711346992153,3,3,2,0,0.024539877300613498,18.404907975460123,2.9473684210526314
91,24,10,4,467.09313228199204,8.613981757024481,54.241961411911404,8,2,5,0.9011570810544611,3,0,20,18,0.21474065528312042,57,20,4,258,15,2,2,71.44122994288324,0.17812181272334954,0.05736948520358622,4,3,6,0,0.043478260869565216,21.73913043478261,2.7142857142857144
200,26,7,1,697.5966377673822,7.2136080051764715,58.90744645469355,8,3,2,0.7511070672622122,1,2,17,14,0.22756515454341525,46,22,4,225,15,1,1,57.425116670422405,0.13918129108791033,0.01746773599703376,5,2,5,0,0.004975124378109453,4.975124378109452,2.0
451,71,3,6,775.3151971682186,5.567549152397096,61.99294981786882,16,3,5,0.6321105455168501,4,1,15,11,0.046819265151769915,47,20,5,12,14,1,1,64.93730143607591,0.35230005084709437,0.16657528125028895,3,4,6,0,0.01327433628318584,2.2123893805309733,2.238095238095238
145,39,2,6,1908.6839478658035,3.6366967925920037,51.58628963205072,13,3,5,0.7168227254380969,4,0,16,14,0.4051411866947979,59,19,4,706,19,1,3,51.043833075803256,0.4289652755551065,0.21264095785823522,1,4,2,0,0.0410958904109589,6.8493150684931505,2.95
148,51,19,7,714.6200837651234,16.270562505180216,56.53943332287858,11,4,4,0.6490746930332008,1,1,20,13,0.1597456438191568,45,18,1,253,14,4,0,69.00172487314656,0.2565508196734801,0.08998520530917653,1,4,5,1,0.04697986577181208,26.845637583892618,2.3684210526315788
78,25,8,6,1949.1191776609035,2.6019959312069303,66.12371587746739,12,5,2,0.680440476894536,1,1,21,13,0.20011003826991097,48,21,2,221,17,3,0,69.53792953219221,0.31036107902826887,0.22984794447527596,0,3,4,0,0.0759493670886076,37.9746835443038,2.1818181818181817
731,18,13,3,3412.7220929160326,7.160354144147182,64.82444260186713,9,8,9,0.6315149689896009,0,2,16,10,0.06349544822754494,66,24,3,58,24,3,1,74.06563478437653,0.1596725844419799,0.00545551180296518,4,3,3,0,0.004098360655737705,4.0983606557377055,2.64
151,13,17,5,452.3046131225595,4.473000587231552,44.20264309273433,6,4,7,0.7426480782857646,1,1,16,5,0.07325966646007602,53,18,2,317,13,0,1,54.80827185183625,0.38979628401136357,0.005232052706507123,7,4,1,0,0.03289473684210526,0.0,2.789473684210526
260,15,3,7,1308.8184571793731,11.01455357656057,63.081740341308965,13,4,3,0.6624063285870332,2,0,17,10,0.688334610340149,58,22,1,232,15,0,1,52.45607141044275,0.2907213850117688,0.045959138290428796,2,5,6,0,0.02681992337164751,0.0,2.5217391304347827
121,7,6,8,1202.7415125771897,29.05194055549708,65.95723064437055,9,6,2,0.6811965648647957,5,0,22,9,0.5102082133859396,52,24,5,361,12,3,2,43.62415697524395,0.3086046584815403,0.10691544788238198,3,5,1,0,0.06557377049180328,24.59016393442623,2.08
235,8,4,4,783.5240784058175,11.90374401384793,38.60215954998699,8,5,6,0.6925936024878119,2,0,18,19,0.33751741955796405,53,16,3,34,11,1,0,35.803668040107375,0.3999795931011881,0.11616900332762603,4,4,0,0,0.01694915254237288,4.237288135593221,3.1176470588235294
24,59,6,4,542.8902552073056,6.489409562465176,46.28574200306019,14,4,3,0.6311528708429401,1,2,17,13,0.1438055812773189,44,22,2,51,7,1,2,49.254343841028245,0.22160370917204367,0.04858588380432483,2,6,6,0,0.16,40.0,1.9130434782608696
169,15,1,5,2574.7124257404294,4.188372472133861,47.138985130037725,13,1,5,0.5128669144683752,2,0,19,10,0.23107711882593057,53,27,2,9,10,4,2,68.58441537668182,0.12466503185627535,0.11946781821037421,1,3,1,0,0.029411764705882353,23.52941176470588,1.8928571428571428
80,29,12,4,37.70671553937335,5.799739701705216,73.32923744983108,15,6,6,0.7525497734722455,5,0,14,17,0.2698415535563257,51,17,2,16,13,1,2,82.72362168057856,0.2253853501817417,0.008566785571390694,1,1,3,0,0.04938271604938271,12.345679012345679,2.8333333333333335
549,35,8,10,980.4178686663802,17.94817571604639,71.44414294168169,11,6,4,0.5550577225959332,3,0,17,9,0.2985856824106848,48,18,3,108,18,2,2,36.94545440740814,0.32390368748913806,0.04012378899581424,2,7,7,0,0.01818181818181818,3.6363636363636362,2.526315789473684
322,16,2,7,870.6196602771713,6.814260982787055,43.9505348919736,11,2,4,0.43275113470221555,4,1,16,9,0.37951262454210916,65,17,3,100,20,1,3,77.91409156394394,0.1934692344561199,0.1462476553888779,2,6,10,0,0.021671826625386997,3.0959752321981426,3.611111111111111
112,5,9,1,985.363739314538,7.201528614587514,63.84698674209292,8,3,6,0.656238882226516,3,0,18,11,0.21205844733349283,43,22,2,166,11,0,2,60.03155040712691,0.3466002243236189,0.03891338522391526,3,5,7,0,0.008849557522123894,0.0,1.8695652173913044
71,11,50,5,1200.9982714623427,15.077272222218307,89.57685543541696,7,4,5,0.8411500494666249,2,1,18,14,0.3299825064942597,54,16,3,124,16,0,5,56.764673271905366,0.4345316423064,0.20240023657114162,2,2,4,1,0.06944444444444445,0.0,3.176470588235294
57,2,12,12,1038.2005679274605,5.501104803563823,48.72364067447296,5,8,1,0.5790387583879797,7,2,14,7,0.25876123359638303,44,17,6,31,17,4,3,46.43926884456755,0.16952392665906024,0.06445616527665742,3,3,7,0,0.20689655172413793,68.9655172413793,2.4444444444444446
260,17,12,3,262.95769171104627,8.899314244595768,59.81186842968565,6,1,3,0.7086803807517217,2,2,9,8,0.2504521508011098,41,20,5,1,22,0,2,67.0417081962735,0.18768490539109953,0.2652032245533061,2,2,8,0,0.011494252873563218,0.0,1.9523809523809523
74,48,15,1,326.0851801681004,3.4434332159140237,85.59997081980865,6,3,5,0.771977038099385,1,0,10,12,0.20171847722184794,47,22,6,296,18,1,3,52.70678948945747,0.2738151488439725,0.08032230783247815,3,5,2,0,0.013333333333333334,13.333333333333334,2.0434782608695654
813,6,5,16,2012.4397962587939,21.015108879575074,87.4299345131254,13,2,4,0.41249072099049156,1,1,13,10,0.2549880080952202,44,25,3,104,11,0,0,80.79565034214666,0.22497107474405453,0.007649270503282917,4,3,9,1,0.019656019656019656,0.0,1.6923076923076923
51,14,3,9,1424.7006383947826,3.005940490935751,35.6467535223874,7,4,6,0.8527849749739732,1,1,19,10,0.5727913588289452,47,21,3,198,18,3,2,80.18452936267576,0.29549836732054957,0.010523553106507143,3,4,5,0,0.17307692307692307,57.69230769230769,2.1363636363636362
76,3,13,17,493.677315265115,8.245653248745525,92.76758981074889,10,6,3,0.4793052074458221,0,1,12,13,0.12927386223210388,53,21,3,215,12,1,0,24.96312864081895,0.33587613195901045,0.025253834149991626,1,2,6,0,0.22077922077922077,12.987012987012989,2.409090909090909
54,6,34,10,760.8792331549369,7.356621932700823,26.52966074775431,11,4,8,0.8012194825293245,2,0,13,21,0.4736652164172346,51,17,3,4,17,5,1,70.79753691219302,0.07225560303701162,0.18594417905971833,3,3,6,0,0.18181818181818182,90.9090909090909,2.8333333333333335
34,14,16,6,5223.299625404631,9.226399116842178,57.51556718517332,11,6,8,0.7660282652971556,2,1,12,10,0.2868064637937031,58,22,3,88,18,1,1,39.26362179029088,0.3184958481389488,0.10895257117038332,2,2,5,1,0.17142857142857143,28.57142857142857,2.5217391304347827
219,128,11,25,3116.1466663525603,6.307952589982228,80.40776852031503,12,5,3,0.4674309609751728,1,1,17,15,0.21409602162111457,44,15,4,338,9,0,2,67.82099596136376,0.18362774833839912,0.053565060346484894,1,5,6,0,0.11363636363636363,0.0,2.75
65,20,1,29,6773.243322898002,6.924011669406726,62.04721191461627,12,4,3,0.7725764760817445,4,2,7,13,0.3028938692905144,50,21,5,149,16,0,2,66.2087967871921,0.36627522949072655,0.1336607506322894,4,7,6,1,0.4393939393939394,0.0,2.272727272727273
472,11,2,7,574.5555399029466,7.4166675717274995,79.86070301003686,12,7,4,0.7113674310706538,5,1,12,17,0.37360245959021793,41,24,5,477,14,4,1,46.94277030554174,0.35490562879260007,0.10497093713461837,5,3,2,0,0.014799154334038054,8.456659619450317,1.64
153,33,8,1,669.7125969753633,13.32867706914378,84.13848915925242,9,6,6,0.7484108216107255,3,0,13,3,0.3709224036961696,60,25,4,84,18,2,1,54.72516803012834,0.07240674409848771,0.03770805708150914,1,3,6,0,0.006493506493506494,12.987012987012989,2.3076923076923075
22,48,6,9,604.5433198359233,6.616864786591815,71.98723212114211,13,9,5,0.9075008798490234,2,0,15,14,0.42146987395127017,40,22,3,235,18,3,4,52.139538744831604,0.27191648062724544,0.026031372603524693,1,3,6,1,0.391304347826087,130.43478260869566,1.7391304347826086
62,51,5,13,1202.1038198714155,7.28546586399413,97.00696856241584,10,3,1,0.6997677946537805,4,0,19,10,0.2044220583123348,49,18,4,45,10,2,2,53.64455679858644,0.20503408128467424,0.013396850724225438,8,5,4,0,0.20634920634920634,31.746031746031743,2.5789473684210527
140,35,8,26,2757.9675332010515,3.914012438675673,39.65262974525038,5,4,2,0.6868704028823437,3,2,20,13,0.10998749698053177,61,16,5,259,13,1,3,69.95326271927577,0.10190135717347354,0.05157974656769823,2,3,9,0,0.18439716312056736,7.092198581560283,3.588235294117647
508,23,3,4,1194.4019117575517,10.281431101580576,50.83969056152905,11,5,2,0.7530172314053459,4,1,14,7,0.3873383485424884,51,24,2,16,12,2,0,44.49176304592366,0.16213845985412167,0.11947332209517061,2,5,8,0,0.007858546168958742,3.929273084479371,2.04
87,4,5,15,2054.9610908105515,14.232432809349335,74.42479369581572,9,3,7,0.8871120185155003,2,1,12,8,0.3870255354483621,50,15,3,224,18,2,1,79.3134806764787,0.1378370267246349,0.017803062954950603,4,2,5,0,0.17045454545454544,22.727272727272727,3.125
106,13,3,9,11802.8148886816,5.789103161032573,21.805888269448133,12,4,2,0.41585559883226875,3,0,14,7,0.37567522562515465,32,23,1,284,13,1,3,44.1687841830809,0.08799729616489718,0.0222038496330619,1,4,4,0,0.08411214953271028,9.345794392523365,1.3333333333333333
31,16,4,10,1382.2717567592224,9.672392762842755,81.47284950694242,11,3,9,0.9350807019147561,1,1,17,12,0.23543626200161707,47,18,1,145,14,2,1,51.29253642678864,0.2193869670306449,0.1608312568745502,3,2,10,0,0.3125,62.5,2.473684210526316
502,4,18,2,255.3886856034734,5.392756195579244,76.35361132304406,13,3,3,0.6149792502117722,3,0,8,10,0.3352336376028798,50,15,2,219,18,4,0,66.52472100164852,0.316482088764516,0.14076155430783424,4,1,4,0,0.003976143141153081,7.952286282306162,3.125
15,22,1,5,297.5416899660297,13.12413653472845,84.84097858222047,8,5,5,0.8583551778794806,2,2,18,10,0.23781573774695403,50,21,2,245,18,2,0,59.891972422416885,0.5210368558804541,0.032233490061980764,5,4,5,0,0.3125,125.0,2.272727272727273
185,15,6,15,1337.698597663226,7.818899417338177,46.95532734250673,11,6,4,0.6507080734072201,4,1,11,10,0.33594099974144925,63,21,3,336,21,1,2,65.26547900576784,0.1021409364692929,0.2942453541094072,2,5,7,0,0.08064516129032258,5.376344086021506,2.8636363636363638
140,9,8,18,2145.022460870054,7.58783719429818,69.12465348024405,7,4,5,0.5333574228102106,2,1,13,6,0.38712485441071215,58,19,5,57,12,3,2,48.994348280838544,0.03437274419775555,0.021630569177908798,2,5,4,0,0.1276595744680851,21.27659574468085,2.9
196,5,6,4,1390.9406699216042,7.802564623400929,39.085832796517664,6,2,4,0.48892767680024635,2,2,15,9,0.09658309187875533,63,24,5,24,17,3,3,64.92911004558516,0.1635304998790922,0.02999321743879909,2,8,4,0,0.02030456852791878,15.228426395939087,2.52
270,40,3,8,773.1045755372512,10.89722707796154,67.76894246276336,16,6,5,0.2840662045114354,1,0,18,13,0.1657838545615321,36,26,4,19,19,4,2,67.89613840297612,0.48408751026940217,0.012138239777623298,1,8,6,0,0.02952029520295203,14.760147601476014,1.3333333333333333
414,11,9,18,497.9263478503163,5.085539388223778,84.86335054067423,6,4,1,0.5649776994702366,4,0,17,9,0.261711213437105,61,21,2,68,18,4,4,73.59070027810668,0.12076349517570603,0.041887278314759226,6,4,4,0,0.043373493975903614,9.63855421686747,2.772727272727273
149,36,16,18,881.8590402045164,13.072315458851035,48.966580123048004,10,3,3,0.7199626352528863,0,0,19,9,0.49436111562118823,57,22,2,5,9,2,3,45.01171719585958,0.3279288798898554,0.17057398638519114,4,1,7,1,0.12,13.333333333333334,2.4782608695652173
25,23,10,9,4271.7062710990995,6.189895913268413,49.69729980157833,8,2,3,0.777386211855567,2,1,17,10,0.20831951036984772,53,17,2,25,17,4,3,42.67130079710912,0.15085407900612655,0.37193578854891424,2,5,4,0,0.34615384615384615,153.84615384615387,2.9444444444444446
